rowID,userName,currentLevel,trackCount,echo,echoLocation,postEchoAction,correctAction,dateTimeStamp
1,9984DA33-4B0C-5D1B-8E42-C2691DD06216,36,1,C00-0_F-3.75-ER_B-0.75-US_L-0.75-D_R-3.75-D,"(9,7)",Move Forward,blarg. Placeholder,08/04/2016 01:46:40
2,9984DA33-4B0C-5D1B-8E42-C2691DD06216,36,1,C00-0_F-0.75-D_B-3.75-US_L-0.75-D_R-3.75-EL,"(7,7)",Crash,blarg. Placeholder,08/04/2016 01:46:42
